Authors,Total_Contacts,Reference_Genome,Cis_Contacts,Cis Percent,Cis/Total,Trans percent,Trans contacts,Cis/Trans
Nagano et al 2017,1086,mm9,908,,0.836,,,
Nagano et al 2017,84914,mm9,70960,,0.836,,,
Nagano et al 2017,318062,mm9,266048,,0.836,,,
Nagano et al 2017,161400,mm9,134886,,0.836,,,
Nagano et al 2017,350970,mm9,293526,,0.836,,,
Nagano et al 2017,301862,mm9,252210,,0.836,,,
Nagano et al 2017,344416,mm9,288006,,0.836,,,
Nagano et al 2017,14166,mm9,11848,,0.836,,,
Nagano et al 2017,1810,mm9,1514,,0.836,,,
Nagano et al 2017,57850,mm9,48358,,0.836,,,
Nagano et al 2017,1740,mm9,1454,,0.836,,,
Nagano et al 2017,5970,mm9,4992,,0.836,,,
Nagano et al 2017,29580,mm9,24728,,0.836,,,
Nagano et al 2017,14264,mm9,11920,,0.836,,,
Nagano et al 2017,134604,mm9,112504,,0.836,,,
Nagano et al 2017,16030,mm9,13378,,0.835,,,
Nagano et al 2017,1188,mm9,992,,0.835,,,
Nagano et al 2017,8656,mm9,7232,,0.835,,,
Nagano et al 2017,24378,mm9,20350,,0.835,,,
Nagano et al 2017,28448,mm9,23764,,0.835,,,
Nagano et al 2017,6058,mm9,5056,,0.835,,,
Nagano et al 2017,44366,mm9,37058,,0.835,,,
Nagano et al 2017,10404,mm9,8686,,0.835,,,
Nagano et al 2017,55318,mm9,46178,,0.835,,,
Nagano et al 2017,180748,mm9,150902,,0.835,,,
Nagano et al 2017,4620,mm9,3860,,0.835,,,
Nagano et al 2017,54386,mm9,45426,,0.835,,,
Nagano et al 2017,320558,mm9,267752,,0.835,,,
Nagano et al 2017,11430,mm9,9546,,0.835,,,
Nagano et al 2017,459928,mm9,384198,,0.835,,,
Nagano et al 2017,374848,mm9,313166,,0.835,,,
Nagano et al 2017,238052,mm9,198778,,0.835,,,
Nagano et al 2017,299772,mm9,250190,,0.835,,,
Nagano et al 2017,399230,mm9,333484,,0.835,,,
Nagano et al 2017,4784,mm9,3994,,0.835,,,
Nagano et al 2017,210784,mm9,176088,,0.835,,,
Nagano et al 2017,1904,mm9,1590,,0.835,,,
Nagano et al 2017,119590,mm9,99862,,0.835,,,
Nagano et al 2017,92362,mm9,77056,,0.834,,,
Nagano et al 2017,98654,mm9,82288,,0.834,,,
Nagano et al 2017,5420,mm9,4522,,0.834,,,
Nagano et al 2017,7416,mm9,6188,,0.834,,,
Nagano et al 2017,1036834,mm9,865106,,0.834,,,
Nagano et al 2017,9244,mm9,7710,,0.834,,,
Nagano et al 2017,294852,mm9,245786,,0.834,,,
Nagano et al 2017,460820,mm9,384454,,0.834,,,
Nagano et al 2017,2046,mm9,1706,,0.834,,,
Nagano et al 2017,325178,mm9,271238,,0.834,,,
Nagano et al 2017,48774,mm9,40660,,0.834,,,
Nagano et al 2017,132726,mm9,110628,,0.834,,,
Nagano et al 2017,169384,mm9,141188,,0.834,,,
Nagano et al 2017,345892,mm9,288338,,0.834,,,
Nagano et al 2017,83700,mm9,69784,,0.834,,,
Nagano et al 2017,405496,mm9,338144,,0.834,,,
Nagano et al 2017,154692,mm9,128998,,0.834,,,
Nagano et al 2017,112230,mm9,93434,,0.833,,,
Nagano et al 2017,127262,mm9,105964,,0.833,,,
Nagano et al 2017,161434,mm9,134476,,0.833,,,
Nagano et al 2017,13354,mm9,11122,,0.833,,,
Nagano et al 2017,33176,mm9,27634,,0.833,,,
Nagano et al 2017,35100,mm9,29232,,0.833,,,
Nagano et al 2017,44786,mm9,37288,,0.833,,,
Nagano et al 2017,794578,mm9,661530,,0.833,,,
Nagano et al 2017,315134,mm9,262662,,0.833,,,
Nagano et al 2017,321098,mm9,267430,,0.833,,,
Nagano et al 2017,106434,mm9,88608,,0.833,,,
Nagano et al 2017,622,mm9,518,,0.833,,,
Nagano et al 2017,18726,mm9,15594,,0.833,,,
Nagano et al 2017,185988,mm9,154978,,0.833,,,
Nagano et al 2017,117776,mm9,98036,,0.832,,,
Nagano et al 2017,14624,mm9,12168,,0.832,,,
Nagano et al 2017,84150,mm9,69980,,0.832,,,
Nagano et al 2017,282490,mm9,235008,,0.832,,,
Nagano et al 2017,59042,mm9,49134,,0.832,,,
Nagano et al 2017,310768,mm9,258446,,0.832,,,
Nagano et al 2017,407584,mm9,339184,,0.832,,,
Nagano et al 2017,2292,mm9,1908,,0.832,,,
Nagano et al 2017,246150,mm9,204796,,0.832,,,
Nagano et al 2017,406886,mm9,338646,,0.832,,,
Nagano et al 2017,533902,mm9,444172,,0.832,,,
Nagano et al 2017,296328,mm9,246688,,0.832,,,
Nagano et al 2017,444876,mm9,370214,,0.832,,,
Nagano et al 2017,460090,mm9,382830,,0.832,,,
Nagano et al 2017,7350,mm9,6112,,0.832,,,
Nagano et al 2017,4446,mm9,3700,,0.832,,,
Nagano et al 2017,4750,mm9,3954,,0.832,,,
Nagano et al 2017,7516,mm9,6250,,0.832,,,
Nagano et al 2017,141776,mm9,117904,,0.832,,,
Nagano et al 2017,45266,mm9,37650,,0.832,,,
Nagano et al 2017,74636,mm9,62054,,0.831,,,
Nagano et al 2017,116966,mm9,97242,,0.831,,,
Nagano et al 2017,115968,mm9,96368,,0.831,,,
Nagano et al 2017,1430668,mm9,1188446,,0.831,,,
Nagano et al 2017,368198,mm9,305970,,0.831,,,
Nagano et al 2017,324170,mm9,269346,,0.831,,,
Nagano et al 2017,774982,mm9,644152,,0.831,,,
Nagano et al 2017,6136,mm9,5096,,0.831,,,
Nagano et al 2017,232522,mm9,193258,,0.831,,,
Nagano et al 2017,140132,mm9,116454,,0.831,,,
Nagano et al 2017,75410,mm9,62650,,0.831,,,
Nagano et al 2017,19360,mm9,16088,,0.831,,,
Nagano et al 2017,53496,mm9,44450,,0.831,,,
Nagano et al 2017,3594,mm9,2986,,0.831,,,
Nagano et al 2017,364496,mm9,302774,,0.831,,,
Nagano et al 2017,310252,mm9,257916,,0.831,,,
Nagano et al 2017,182260,mm9,151510,,0.831,,,
Nagano et al 2017,569252,mm9,472986,,0.831,,,
Nagano et al 2017,48734,mm9,40496,,0.831,,,
Nagano et al 2017,2510,mm9,2086,,0.831,,,
Nagano et al 2017,5754,mm9,4780,,0.831,,,
Nagano et al 2017,366854,mm9,304686,,0.831,,,
Nagano et al 2017,332894,mm9,276576,,0.831,,,
Nagano et al 2017,6626,mm9,5508,,0.831,,,
Nagano et al 2017,49632,mm9,41254,,0.831,,,
Nagano et al 2017,6682,mm9,5552,,0.831,,,
Nagano et al 2017,234036,mm9,194434,,0.831,,,
Nagano et al 2017,32254,mm9,26818,,0.831,,,
Nagano et al 2017,208610,mm9,173170,,0.83,,,
Nagano et al 2017,90446,mm9,75064,,0.83,,,
Nagano et al 2017,10830,mm9,8990,,0.83,,,
Nagano et al 2017,48876,mm9,40578,,0.83,,,
Nagano et al 2017,3112,mm9,2582,,0.83,,,
Nagano et al 2017,126764,mm9,105252,,0.83,,,
Nagano et al 2017,10848,mm9,9008,,0.83,,,
Nagano et al 2017,127664,mm9,105952,,0.83,,,
Nagano et al 2017,29424,mm9,24410,,0.83,,,
Nagano et al 2017,198266,mm9,164518,,0.83,,,
Nagano et al 2017,379612,mm9,315032,,0.83,,,
Nagano et al 2017,273628,mm9,227186,,0.83,,,
Nagano et al 2017,363022,mm9,301418,,0.83,,,
Nagano et al 2017,408412,mm9,339028,,0.83,,,
Nagano et al 2017,373816,mm9,310354,,0.83,,,
Nagano et al 2017,80482,mm9,66826,,0.83,,,
Nagano et al 2017,192094,mm9,159486,,0.83,,,
Nagano et al 2017,52256,mm9,43364,,0.83,,,
Nagano et al 2017,365092,mm9,302844,,0.83,,,
Nagano et al 2017,206808,mm9,171678,,0.83,,,
Nagano et al 2017,28874,mm9,23956,,0.83,,,
Nagano et al 2017,151784,mm9,126000,,0.83,,,
Nagano et al 2017,347168,mm9,287776,,0.829,,,
Nagano et al 2017,183738,mm9,152400,,0.829,,,
Nagano et al 2017,28934,mm9,23992,,0.829,,,
Nagano et al 2017,135672,mm9,112478,,0.829,,,
Nagano et al 2017,471462,mm9,390804,,0.829,,,
Nagano et al 2017,2116,mm9,1754,,0.829,,,
Nagano et al 2017,591282,mm9,490012,,0.829,,,
Nagano et al 2017,626008,mm9,518930,,0.829,,,
Nagano et al 2017,33574,mm9,27824,,0.829,,,
Nagano et al 2017,27882,mm9,23108,,0.829,,,
Nagano et al 2017,762060,mm9,631834,,0.829,,,
Nagano et al 2017,69754,mm9,57806,,0.829,,,
Nagano et al 2017,88604,mm9,73476,,0.829,,,
Nagano et al 2017,438730,mm9,363874,,0.829,,,
Nagano et al 2017,1996,mm9,1654,,0.829,,,
Nagano et al 2017,293588,mm9,243262,,0.829,,,
Nagano et al 2017,280238,mm9,232418,,0.829,,,
Nagano et al 2017,5282,mm9,4378,,0.829,,,
Nagano et al 2017,194750,mm9,161388,,0.829,,,
Nagano et al 2017,484904,mm9,401746,,0.829,,,
Nagano et al 2017,405124,mm9,335990,,0.829,,,
Nagano et al 2017,395546,mm9,327952,,0.829,,,
Nagano et al 2017,471524,mm9,390698,,0.829,,,
Nagano et al 2017,9404,mm9,7798,,0.829,,,
Nagano et al 2017,6346,mm9,5264,,0.829,,,
Nagano et al 2017,45318,mm9,37570,,0.829,,,
Nagano et al 2017,36136,mm9,29942,,0.829,,,
Nagano et al 2017,5332,mm9,4422,,0.829,,,
Nagano et al 2017,99440,mm9,82448,,0.829,,,
Nagano et al 2017,136960,mm9,113532,,0.829,,,
Nagano et al 2017,121532,mm9,100694,,0.829,,,
Nagano et al 2017,252198,mm9,209070,,0.829,,,
Nagano et al 2017,540938,mm9,448438,,0.829,,,
Nagano et al 2017,127416,mm9,105456,,0.828,,,
Nagano et al 2017,119060,mm9,98558,,0.828,,,
Nagano et al 2017,335618,mm9,277782,,0.828,,,
Nagano et al 2017,280036,mm9,231976,,0.828,,,
Nagano et al 2017,2868,mm9,2376,,0.828,,,
Nagano et al 2017,17886,mm9,14804,,0.828,,,
Nagano et al 2017,23600,mm9,19534,,0.828,,,
Nagano et al 2017,9776,mm9,8090,,0.828,,,
Nagano et al 2017,289194,mm9,239396,,0.828,,,
Nagano et al 2017,372370,mm9,308278,,0.828,,,
Nagano et al 2017,220872,mm9,182922,,0.828,,,
Nagano et al 2017,133394,mm9,110414,,0.828,,,
Nagano et al 2017,126962,mm9,105160,,0.828,,,
Nagano et al 2017,2646,mm9,2190,,0.828,,,
Nagano et al 2017,60964,mm9,50460,,0.828,,,
Nagano et al 2017,231520,mm9,191636,,0.828,,,
Nagano et al 2017,290870,mm9,240912,,0.828,,,
Nagano et al 2017,344862,mm9,285642,,0.828,,,
Nagano et al 2017,1536,mm9,1272,,0.828,,,
Nagano et al 2017,381026,mm9,315386,,0.828,,,
Nagano et al 2017,244126,mm9,202232,,0.828,,,
Nagano et al 2017,212650,mm9,176172,,0.828,,,
Nagano et al 2017,1492,mm9,1236,,0.828,,,
Nagano et al 2017,2614,mm9,2162,,0.827,,,
Nagano et al 2017,4822,mm9,3990,,0.827,,,
Nagano et al 2017,66828,mm9,55298,,0.827,,,
Nagano et al 2017,42826,mm9,35422,,0.827,,,
Nagano et al 2017,17594,mm9,14542,,0.827,,,
Nagano et al 2017,42394,mm9,35046,,0.827,,,
Nagano et al 2017,7630,mm9,6310,,0.827,,,
Nagano et al 2017,9896,mm9,8184,,0.827,,,
Nagano et al 2017,91344,mm9,75544,,0.827,,,
Nagano et al 2017,65234,mm9,53940,,0.827,,,
Nagano et al 2017,171656,mm9,142028,,0.827,,,
Nagano et al 2017,62778,mm9,51888,,0.827,,,
Nagano et al 2017,377412,mm9,312180,,0.827,,,
Nagano et al 2017,4398,mm9,3638,,0.827,,,
Nagano et al 2017,1018548,mm9,841874,,0.827,,,
Nagano et al 2017,186902,mm9,154652,,0.827,,,
Nagano et al 2017,588,mm9,486,,0.827,,,
Nagano et al 2017,450,mm9,372,,0.827,,,
Nagano et al 2017,91700,mm9,75726,,0.826,,,
Nagano et al 2017,145522,mm9,120148,,0.826,,,
Nagano et al 2017,5042,mm9,4166,,0.826,,,
Nagano et al 2017,5018,mm9,4146,,0.826,,,
Nagano et al 2017,16730,mm9,13818,,0.826,,,
Nagano et al 2017,192578,mm9,159030,,0.826,,,
Nagano et al 2017,1906,mm9,1574,,0.826,,,
Nagano et al 2017,775168,mm9,640428,,0.826,,,
Nagano et al 2017,254102,mm9,209884,,0.826,,,
Nagano et al 2017,250094,mm9,206574,,0.826,,,
Nagano et al 2017,381780,mm9,315438,,0.826,,,
Nagano et al 2017,21982,mm9,18160,,0.826,,,
Nagano et al 2017,54108,mm9,44698,,0.826,,,
Nagano et al 2017,31350,mm9,25900,,0.826,,,
Nagano et al 2017,346946,mm9,286480,,0.826,,,
Nagano et al 2017,288524,mm9,238206,,0.826,,,
Nagano et al 2017,374468,mm9,309388,,0.826,,,
Nagano et al 2017,3584,mm9,2960,,0.826,,,
Nagano et al 2017,403886,mm9,333516,,0.826,,,
Nagano et al 2017,31446,mm9,25932,,0.825,,,
Nagano et al 2017,328640,mm9,271000,,0.825,,,
Nagano et al 2017,106164,mm9,87626,,0.825,,,
Nagano et al 2017,153210,mm9,126404,,0.825,,,
Nagano et al 2017,318364,mm9,262674,,0.825,,,
Nagano et al 2017,4240,mm9,3500,,0.825,,,
Nagano et al 2017,305792,mm9,252176,,0.825,,,
Nagano et al 2017,393280,mm9,324428,,0.825,,,
Nagano et al 2017,70098,mm9,57796,,0.825,,,
Nagano et al 2017,39584,mm9,32646,,0.825,,,
Nagano et al 2017,230438,mm9,190180,,0.825,,,
Nagano et al 2017,32554,mm9,26844,,0.825,,,
Nagano et al 2017,420910,mm9,347460,,0.825,,,
Nagano et al 2017,24608,mm9,20312,,0.825,,,
Nagano et al 2017,126,mm9,104,,0.825,,,
Nagano et al 2017,204794,mm9,168900,,0.825,,,
Nagano et al 2017,336276,mm9,277592,,0.825,,,
Nagano et al 2017,6192,mm9,5102,,0.824,,,
Nagano et al 2017,24212,mm9,19962,,0.824,,,
Nagano et al 2017,131390,mm9,108292,,0.824,,,
Nagano et al 2017,4448,mm9,3666,,0.824,,,
Nagano et al 2017,4768,mm9,3928,,0.824,,,
Nagano et al 2017,985230,mm9,812210,,0.824,,,
Nagano et al 2017,241492,mm9,199004,,0.824,,,
Nagano et al 2017,437344,mm9,360306,,0.824,,,
Nagano et al 2017,354734,mm9,292390,,0.824,,,
Nagano et al 2017,706232,mm9,581704,,0.824,,,
Nagano et al 2017,34,mm9,28,,0.824,,,
Nagano et al 2017,220820,mm9,181932,,0.824,,,
Nagano et al 2017,531720,mm9,438076,,0.824,,,
Nagano et al 2017,6334,mm9,5210,,0.823,,,
Nagano et al 2017,2098,mm9,1726,,0.823,,,
Nagano et al 2017,418052,mm9,344128,,0.823,,,
Nagano et al 2017,370554,mm9,305060,,0.823,,,
Nagano et al 2017,320158,mm9,263454,,0.823,,,
Nagano et al 2017,341128,mm9,280700,,0.823,,,
Nagano et al 2017,3688,mm9,3036,,0.823,,,
Nagano et al 2017,134358,mm9,110584,,0.823,,,
Nagano et al 2017,297448,mm9,244944,,0.823,,,
Nagano et al 2017,502094,mm9,413128,,0.823,,,
Nagano et al 2017,153636,mm9,126498,,0.823,,,
Nagano et al 2017,148758,mm9,122498,,0.823,,,
Nagano et al 2017,150748,mm9,124046,,0.823,,,
Nagano et al 2017,24464,mm9,20116,,0.822,,,
Nagano et al 2017,175014,mm9,143808,,0.822,,,
Nagano et al 2017,203342,mm9,167152,,0.822,,,
Nagano et al 2017,54122,mm9,44512,,0.822,,,
Nagano et al 2017,154222,mm9,126766,,0.822,,,
Nagano et al 2017,6258,mm9,5142,,0.822,,,
Nagano et al 2017,33064,mm9,27190,,0.822,,,
Nagano et al 2017,24962,mm9,20530,,0.822,,,
Nagano et al 2017,692436,mm9,569494,,0.822,,,
Nagano et al 2017,196684,mm9,161696,,0.822,,,
Nagano et al 2017,125744,mm9,103354,,0.822,,,
Nagano et al 2017,243668,mm9,200236,,0.822,,,
Nagano et al 2017,4052,mm9,3330,,0.822,,,
Nagano et al 2017,289696,mm9,237996,,0.822,,,
Nagano et al 2017,320454,mm9,263562,,0.822,,,
Nagano et al 2017,65084,mm9,53494,,0.822,,,
Nagano et al 2017,270762,mm9,222446,,0.822,,,
Nagano et al 2017,311794,mm9,256326,,0.822,,,
Nagano et al 2017,134406,mm9,110288,,0.821,,,
Nagano et al 2017,2700,mm9,2218,,0.821,,,
Nagano et al 2017,95648,mm9,78532,,0.821,,,
Nagano et al 2017,46236,mm9,37946,,0.821,,,
Nagano et al 2017,197564,mm9,162222,,0.821,,,
Nagano et al 2017,80044,mm9,65700,,0.821,,,
Nagano et al 2017,227684,mm9,186982,,0.821,,,
Nagano et al 2017,9542,mm9,7838,,0.821,,,
Nagano et al 2017,12438,mm9,10216,,0.821,,,
Nagano et al 2017,364984,mm9,299574,,0.821,,,
Nagano et al 2017,30318,mm9,24884,,0.821,,,
Nagano et al 2017,78,mm9,64,,0.821,,,
Nagano et al 2017,75966,mm9,62354,,0.821,,,
Nagano et al 2017,100992,mm9,82892,,0.821,,,
Nagano et al 2017,405382,mm9,332704,,0.821,,,
Nagano et al 2017,5498,mm9,4516,,0.821,,,
Nagano et al 2017,10948,mm9,8990,,0.821,,,
Nagano et al 2017,181446,mm9,148928,,0.821,,,
Nagano et al 2017,256546,mm9,210674,,0.821,,,
Nagano et al 2017,248102,mm9,203762,,0.821,,,
Nagano et al 2017,156568,mm9,128384,,0.82,,,
Nagano et al 2017,3092,mm9,2534,,0.82,,,
Nagano et al 2017,219870,mm9,180388,,0.82,,,
Nagano et al 2017,560040,mm9,459116,,0.82,,,
Nagano et al 2017,470600,mm9,385862,,0.82,,,
Nagano et al 2017,291452,mm9,239004,,0.82,,,
Nagano et al 2017,97272,mm9,79724,,0.82,,,
Nagano et al 2017,3350,mm9,2746,,0.82,,,
Nagano et al 2017,336278,mm9,275894,,0.82,,,
Nagano et al 2017,91368,mm9,74940,,0.82,,,
Nagano et al 2017,423052,mm9,346752,,0.82,,,
Nagano et al 2017,326228,mm9,267414,,0.82,,,
Nagano et al 2017,498212,mm9,408324,,0.82,,,
Nagano et al 2017,300172,mm9,246116,,0.82,,,
Nagano et al 2017,77360,mm9,63458,,0.82,,,
Nagano et al 2017,18778,mm9,15370,,0.819,,,
Nagano et al 2017,4074,mm9,3336,,0.819,,,
Nagano et al 2017,185868,mm9,152188,,0.819,,,
Nagano et al 2017,39304,mm9,32206,,0.819,,,
Nagano et al 2017,236144,mm9,193320,,0.819,,,
Nagano et al 2017,26696,mm9,21866,,0.819,,,
Nagano et al 2017,8358,mm9,6844,,0.819,,,
Nagano et al 2017,15892,mm9,13010,,0.819,,,
Nagano et al 2017,233802,mm9,191464,,0.819,,,
Nagano et al 2017,145128,mm9,118846,,0.819,,,
Nagano et al 2017,224426,mm9,183838,,0.819,,,
Nagano et al 2017,614266,mm9,503290,,0.819,,,
Nagano et al 2017,323994,mm9,265308,,0.819,,,
Nagano et al 2017,199602,mm9,163508,,0.819,,,
Nagano et al 2017,381066,mm9,312104,,0.819,,,
Nagano et al 2017,330192,mm9,270350,,0.819,,,
Nagano et al 2017,524464,mm9,429376,,0.819,,,
Nagano et al 2017,37962,mm9,31098,,0.819,,,
Nagano et al 2017,103946,mm9,85156,,0.819,,,
Nagano et al 2017,151854,mm9,124342,,0.819,,,
Nagano et al 2017,122024,mm9,99798,,0.818,,,
Nagano et al 2017,21790,mm9,17826,,0.818,,,
Nagano et al 2017,74466,mm9,60878,,0.818,,,
Nagano et al 2017,195520,mm9,160000,,0.818,,,
Nagano et al 2017,272672,mm9,223056,,0.818,,,
Nagano et al 2017,139158,mm9,113890,,0.818,,,
Nagano et al 2017,230156,mm9,188244,,0.818,,,
Nagano et al 2017,242,mm9,198,,0.818,,,
Nagano et al 2017,338998,mm9,277440,,0.818,,,
Nagano et al 2017,40436,mm9,33092,,0.818,,,
Nagano et al 2017,196208,mm9,160490,,0.818,,,
Nagano et al 2017,440792,mm9,360594,,0.818,,,
Nagano et al 2017,256004,mm9,209302,,0.818,,,
Nagano et al 2017,198,mm9,162,,0.818,,,
Nagano et al 2017,228042,mm9,186512,,0.818,,,
Nagano et al 2017,325462,mm9,266324,,0.818,,,
Nagano et al 2017,165002,mm9,134894,,0.818,,,
Nagano et al 2017,112264,mm9,91684,,0.817,,,
Nagano et al 2017,796,mm9,650,,0.817,,,
Nagano et al 2017,123716,mm9,101068,,0.817,,,
Nagano et al 2017,29058,mm9,23752,,0.817,,,
Nagano et al 2017,6324,mm9,5168,,0.817,,,
Nagano et al 2017,29492,mm9,24096,,0.817,,,
Nagano et al 2017,10500,mm9,8574,,0.817,,,
Nagano et al 2017,13438,mm9,10984,,0.817,,,
Nagano et al 2017,345692,mm9,282374,,0.817,,,
Nagano et al 2017,7128,mm9,5826,,0.817,,,
Nagano et al 2017,309528,mm9,253034,,0.817,,,
Nagano et al 2017,76104,mm9,62212,,0.817,,,
Nagano et al 2017,181224,mm9,147980,,0.817,,,
Nagano et al 2017,196252,mm9,160260,,0.817,,,
Nagano et al 2017,6324,mm9,5158,,0.816,,,
Nagano et al 2017,11854,mm9,9674,,0.816,,,
Nagano et al 2017,82618,mm9,67450,,0.816,,,
Nagano et al 2017,123798,mm9,101070,,0.816,,,
Nagano et al 2017,247914,mm9,202410,,0.816,,,
Nagano et al 2017,12076,mm9,9854,,0.816,,,
Nagano et al 2017,226726,mm9,184902,,0.816,,,
Nagano et al 2017,18670,mm9,15242,,0.816,,,
Nagano et al 2017,18504,mm9,15102,,0.816,,,
Nagano et al 2017,46936,mm9,38298,,0.816,,,
Nagano et al 2017,1696,mm9,1384,,0.816,,,
Nagano et al 2017,485982,mm9,396764,,0.816,,,
Nagano et al 2017,1622,mm9,1324,,0.816,,,
Nagano et al 2017,323274,mm9,263930,,0.816,,,
Nagano et al 2017,309588,mm9,252478,,0.816,,,
Nagano et al 2017,1464,mm9,1194,,0.816,,,
Nagano et al 2017,374694,mm9,305902,,0.816,,,
Nagano et al 2017,60946,mm9,49742,,0.816,,,
Nagano et al 2017,39052,mm9,31850,,0.816,,,
Nagano et al 2017,6002,mm9,4894,,0.815,,,
Nagano et al 2017,85350,mm9,69530,,0.815,,,
Nagano et al 2017,212694,mm9,173406,,0.815,,,
Nagano et al 2017,87466,mm9,71304,,0.815,,,
Nagano et al 2017,142262,mm9,115954,,0.815,,,
Nagano et al 2017,63486,mm9,51752,,0.815,,,
Nagano et al 2017,348738,mm9,284260,,0.815,,,
Nagano et al 2017,204852,mm9,167026,,0.815,,,
Nagano et al 2017,323664,mm9,263788,,0.815,,,
Nagano et al 2017,271318,mm9,221042,,0.815,,,
Nagano et al 2017,137268,mm9,111836,,0.815,,,
Nagano et al 2017,123034,mm9,100266,,0.815,,,
Nagano et al 2017,177464,mm9,144584,,0.815,,,
Nagano et al 2017,33316,mm9,27128,,0.814,,,
Nagano et al 2017,125862,mm9,102494,,0.814,,,
Nagano et al 2017,3612,mm9,2940,,0.814,,,
Nagano et al 2017,231606,mm9,188622,,0.814,,,
Nagano et al 2017,136288,mm9,110924,,0.814,,,
Nagano et al 2017,1150,mm9,936,,0.814,,,
Nagano et al 2017,293826,mm9,239230,,0.814,,,
Nagano et al 2017,317464,mm9,258498,,0.814,,,
Nagano et al 2017,143746,mm9,117054,,0.814,,,
Nagano et al 2017,176056,mm9,143272,,0.814,,,
Nagano et al 2017,278952,mm9,227166,,0.814,,,
Nagano et al 2017,1516,mm9,1234,,0.814,,,
Nagano et al 2017,140038,mm9,114018,,0.814,,,
Nagano et al 2017,64,mm9,52,,0.813,,,
Nagano et al 2017,7104,mm9,5774,,0.813,,,
Nagano et al 2017,158924,mm9,129222,,0.813,,,
Nagano et al 2017,124990,mm9,101658,,0.813,,,
Nagano et al 2017,333928,mm9,271404,,0.813,,,
Nagano et al 2017,158572,mm9,128886,,0.813,,,
Nagano et al 2017,178262,mm9,144940,,0.813,,,
Nagano et al 2017,120426,mm9,97860,,0.813,,,
Nagano et al 2017,188562,mm9,153308,,0.813,,,
Nagano et al 2017,65136,mm9,52884,,0.812,,,
Nagano et al 2017,755942,mm9,614040,,0.812,,,
Nagano et al 2017,27644,mm9,22440,,0.812,,,
Nagano et al 2017,301164,mm9,244404,,0.812,,,
Nagano et al 2017,210902,mm9,171306,,0.812,,,
Nagano et al 2017,86794,mm9,70452,,0.812,,,
Nagano et al 2017,117588,mm9,95436,,0.812,,,
Nagano et al 2017,1000,mm9,812,,0.812,,,
Nagano et al 2017,109952,mm9,89300,,0.812,,,
Nagano et al 2017,58570,mm9,47524,,0.811,,,
Nagano et al 2017,3052,mm9,2474,,0.811,,,
Nagano et al 2017,424,mm9,344,,0.811,,,
Nagano et al 2017,55602,mm9,45074,,0.811,,,
Nagano et al 2017,396872,mm9,321850,,0.811,,,
Nagano et al 2017,301562,mm9,244522,,0.811,,,
Nagano et al 2017,488,mm9,396,,0.811,,,
Nagano et al 2017,562358,mm9,455906,,0.811,,,
Nagano et al 2017,74302,mm9,60254,,0.811,,,
Nagano et al 2017,223552,mm9,181232,,0.811,,,
Nagano et al 2017,146806,mm9,118974,,0.81,,,
Nagano et al 2017,9464,mm9,7664,,0.81,,,
Nagano et al 2017,17838,mm9,14440,,0.81,,,
Nagano et al 2017,37572,mm9,30430,,0.81,,,
Nagano et al 2017,231194,mm9,187342,,0.81,,,
Nagano et al 2017,210468,mm9,170472,,0.81,,,
Nagano et al 2017,368926,mm9,298688,,0.81,,,
Nagano et al 2017,134618,mm9,109076,,0.81,,,
Nagano et al 2017,298244,mm9,241654,,0.81,,,
Nagano et al 2017,297278,mm9,240728,,0.81,,,
Nagano et al 2017,396992,mm9,321454,,0.81,,,
Nagano et al 2017,258670,mm9,209452,,0.81,,,
Nagano et al 2017,42,mm9,34,,0.81,,,
Nagano et al 2017,4774,mm9,3866,,0.81,,,
Nagano et al 2017,94654,mm9,76534,,0.809,,,
Nagano et al 2017,39380,mm9,31862,,0.809,,,
Nagano et al 2017,86854,mm9,70228,,0.809,,,
Nagano et al 2017,278662,mm9,225338,,0.809,,,
Nagano et al 2017,70628,mm9,57124,,0.809,,,
Nagano et al 2017,1066,mm9,862,,0.809,,,
Nagano et al 2017,409874,mm9,331398,,0.809,,,
Nagano et al 2017,179900,mm9,145540,,0.809,,,
Nagano et al 2017,272422,mm9,220420,,0.809,,,
Nagano et al 2017,521672,mm9,422260,,0.809,,,
Nagano et al 2017,38752,mm9,31354,,0.809,,,
Nagano et al 2017,188,mm9,152,,0.809,,,
Nagano et al 2017,116148,mm9,93984,,0.809,,,
Nagano et al 2017,118546,mm9,95798,,0.808,,,
Nagano et al 2017,57778,mm9,46666,,0.808,,,
Nagano et al 2017,275468,mm9,222572,,0.808,,,
Nagano et al 2017,457700,mm9,369608,,0.808,,,
Nagano et al 2017,56676,mm9,45752,,0.807,,,
Nagano et al 2017,3918,mm9,3160,,0.807,,,
Nagano et al 2017,4290,mm9,3462,,0.807,,,
Nagano et al 2017,1432,mm9,1156,,0.807,,,
Nagano et al 2017,441528,mm9,355754,,0.806,,,
Nagano et al 2017,6660,mm9,5368,,0.806,,,
Nagano et al 2017,196534,mm9,158384,,0.806,,,
Nagano et al 2017,72,mm9,58,,0.806,,,
Nagano et al 2017,310754,mm9,250326,,0.806,,,
Nagano et al 2017,151608,mm9,122160,,0.806,,,
Nagano et al 2017,338266,mm9,272800,,0.806,,,
Nagano et al 2017,104606,mm9,84198,,0.805,,,
Nagano et al 2017,29578,mm9,23802,,0.805,,,
Nagano et al 2017,25730,mm9,20722,,0.805,,,
Nagano et al 2017,520408,mm9,419140,,0.805,,,
